timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604068706473,131,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,131,0,0
1604068706603,2514,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,670120,123,5,5,"https://www.gazeta.pl/0,0.html",284,0,0
1604068707270,2527,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",64,0,0
1604068707270,65,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,64,0,0
1604068707335,2462,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",244,0,0
1604068707620,2414,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",159,0,0
1604068707620,159,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,159,0,0
1604068707780,2254,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",221,0,0
1604068707108,3066,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",217,0,135
1604068707108,217,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,5,5,http://www.gazeta.pl/,217,0,135
1604068707326,2848,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",199,0,0
1604068708633,2355,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",155,0,0
1604068708633,156,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,155,0,0
1604068708789,2199,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",304,0,0
1604068709118,2381,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",157,0,0
1604068709118,157,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,157,0,0
1604068709275,2224,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",250,0,0
1604068710047,2140,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",104,0,0
1604068710047,104,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,104,0,0
1604068710151,2036,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",157,0,0
